Folder consists of 50 ODF files from 2015 Bedford Basin Compass Station occupations.

"FILE","START_DATE_TIME"
"CTD_BCD2015667_001_01_DN.ODF","2015-01-07 13:28:34"
"CTD_BCD2015667_002_01_DN.ODF","2015-01-14 13:16:27"
"CTD_BCD2015667_003_01_DN.ODF","2015-01-21 13:16:48"
"CTD_BCD2015667_004_01_DN.ODF","2015-01-29 13:23:50"
"CTD_BCD2015667_005_01_DN.ODF","2015-02-04 13:29:28"
"CTD_BCD2015667_006_01_DN.ODF","2015-02-11 13:22:09"
"CTD_BCD2015667_007_01_DN.ODF","2015-02-19 12:54:51"
"CTD_BCD2015667_008_01_DN.ODF","2015-02-25 13:09:15"
"CTD_BCD2015667_009_01_DN.ODF","2015-03-04 13:16:55"
"CTD_BCD2015667_010_01_DN.ODF","2015-03-11 12:02:24"
"CTD_BCD2015667_011_01_DN.ODF","2015-03-17 14:07:08"
"CTD_BCD2015667_012_01_DN.ODF","2015-03-25 12:23:32"
"CTD_BCD2015667_013_01_DN.ODF","2015-04-01 12:18:34"
"CTD_BCD2015667_014_01_DN.ODF","2015-04-08 12:26:46"
"CTD_BCD2015667_015_01_DN.ODF","2015-04-15 12:20:51"
"CTD_BCD2015667_016_01_DN.ODF","2015-04-20 12:11:30"
"CTD_BCD2015667_017_01_DN.ODF","2015-04-29 11:55:56"
"CTD_BCD2015667_018_01_DN.ODF","2015-05-06 12:04:23"
"CTD_BCD2015667_019_01_DN.ODF","2015-05-13 12:30:00"
"CTD_BCD2015667_020_01_DN.ODF","2015-05-20 12:08:46"
"CTD_BCD2015667_021_01_DN.ODF","2015-05-27 12:16:32"
"CTD_BCD2015667_022_01_DN.ODF","2015-06-03 12:10:41"
"CTD_BCD2015667_023_01_DN.ODF","2015-06-10 12:11:04"
"CTD_BCD2015667_024_01_DN.ODF","2015-06-17 12:55:06"
"CTD_BCD2015667_025_01_DN.ODF","2015-06-24 12:20:16"
"CTD_BCD2015667_026_01_DN.ODF","2015-06-30 14:51:46"
"CTD_BCD2015667_027_01_DN.ODF","2015-07-08 12:13:54"
"CTD_BCD2015667_028_01_DN.ODF","2015-07-15 12:15:26"
"CTD_BCD2015667_029_01_DN.ODF","2015-07-22 12:04:11"
"CTD_BCD2015667_030_01_DN.ODF","2015-07-29 12:21:15"
"CTD_BCD2015667_031_01_DN.ODF","2015-08-05 12:36:15"
"CTD_BCD2015667_032_01_DN.ODF","2015-08-12 12:14:25"
"CTD_BCD2015667_033_01_DN.ODF","2015-08-19 12:15:59"
"CTD_BCD2015667_034_01_DN.ODF","2015-08-26 12:17:21"
"CTD_BCD2015667_035_01_DN.ODF","2015-09-02 12:17:26"
"CTD_BCD2015667_036_01_DN.ODF","2015-09-09 12:01:21"
"CTD_BCD2015667_037_01_DN.ODF","2015-09-17 13:07:28"
"CTD_BCD2015667_038_01_DN.ODF","2015-09-23 12:11:18"
"CTD_BCD2015667_039_01_DN.ODF","2015-09-30 12:03:41"
"CTD_BCD2015667_040_01_DN.ODF","2015-10-07 12:07:43"
"CTD_BCD2015667_041_01_DN.ODF","2015-10-15 12:00:38"
"CTD_BCD2015667_042_01_DN.ODF","2015-10-21 12:19:31"
"CTD_BCD2015667_043_01_DN.ODF","2015-10-29 12:08:53"
"CTD_BCD2015667_044_01_DN.ODF","2015-11-04 12:57:15"
"CTD_BCD2015667_045_01_DN.ODF","2015-11-10 18:21:50"
"CTD_BCD2015667_046_01_DN.ODF","2015-11-18 13:18:12"
"CTD_BCD2015667_047_01_DN.ODF","2015-11-25 13:13:55"
"CTD_BCD2015667_048_01_DN.ODF","2015-12-02 13:12:28"
"CTD_BCD2015667_049_01_DN.ODF","2015-12-09 13:27:43"
"CTD_BCD2015667_050_01_DN.ODF","2015-12-16 13:21:45"
